mpc  Marinomonas posidonica
aha  Aeromonas hydrophila
asa  Aeromonas salmonicida
avr  Aeromonas veronii
tau  Tolumonas auensis
oce  Oceanimonas sp. GK1
dno  Dichelobacter nodosus
afe  Acidithiobacillus ferrooxidans ATCC 53993
afr  Acidithiobacillus ferrooxidans ATCC 23270
acu  Acidithiobacillus caldus
afi  Acidithiobacillus ferrivorans
bci  Baumannia cicadellinicola
crp  Candidatus Carsonella ruddii
rma  Candidatus Ruthia magnifica
vok  Candidatus Vesicomyosocius okutanii
gpb  Gamma proteobacterium HdN1
nma  Neisseria meningitidis Z2491 (serogroup A)
nme  Neisseria meningitidis MC58 (serogroup B)
nmc  Neisseria meningitidis FAM18 (serogroup C)
nmn  Neisseria meningitidis 053442 (serogroup C)
nmi  Neisseria meningitidis alpha14
ngo  Neisseria gonorrhoeae FA 1090
ngk  Neisseria gonorrhoeae NCCP11945
nla  Neisseria lactamica
cvi  Chromobacterium violaceum
lhk  Laribacter hongkongensis
pse  Pseudogulbenkiania sp. NH8B
rso  Ralstonia solanacearum GMI1000
rsc  Ralstonia solanacearum CFBP2957
rsl  Ralstonia solanacearum PSI07
rpi  Ralstonia pickettii 12J
rpf  Ralstonia pickettii 12D
reu  Ralstonia eutropha JMP134
reh  Ralstonia eutropha H16
rme  Cupriavidus metallidurans
cti  Cupriavidus taiwanensis
cnc  Cupriavidus necator
bma  Burkholderia mallei ATCC 23344
bmv  Burkholderia mallei SAVP1
bml  Burkholderia mallei NCTC 10229
bmn  Burkholderia mallei NCTC 10247
bps  Burkholderia pseudomallei K96243
bpm  Burkholderia pseudomallei 1710b
bpl  Burkholderia pseudomallei 1106a
bpd  Burkholderia pseudomallei 668
bpr  Burkholderia pseudomallei MSHR346
bte  Burkholderia thailandensis
bvi  Burkholderia vietnamiensis
bur  Burkholderia sp. 383
bcn  Burkholderia cenocepacia AU1054
bch  Burkholderia cenocepacia HI2424
bcm  Burkholderia cenocepacia MC0-3
bcj  Burkholderia cenocepacia J2315
bam  Burkholderia ambifaria AMMD
bac  Burkholderia ambifaria MC40-6
bmu  Burkholderia multivorans ATCC 17616 (JGI)
bmj  Burkholderia multivorans ATCC 17616 (Tohoku)
bxe  Burkholderia xenovorans
bph  Burkholderia phymatum
bpy  Burkholderia phytofirmans
bgl  Burkholderia glumae
bug  Burkholderia sp. CCGE1001
bge  Burkholderia sp. CCGE1002
bgf  Burkholderia sp. CCGE1003
byi  Burkholderia sp. YI23
brh  Burkholderia rhizoxinica
bgd  Burkholderia gladioli
pnu  Polynucleobacter sp. QLW-P1DMWA-1
pne  Polynucleobacter necessarius
bpe  Bordetella pertussis
bpa  Bordetella parapertussis
bbr  Bordetella bronchiseptica
bpt  Bordetella petrii
bav  Bordetella avium
axy  Achromobacter xylosoxidans
teq  Taylorella equigenitalis
tas  Taylorella asinigenitalis
put  Pusillimonas sp. T7-7
rfr  Rhodoferax ferrireducens
pol  Polaromonas sp. JS666
pna  Polaromonas naphthalenivorans
aav  Acidovorax avenae
ajs  Acidovorax sp. JS42
dia  Acidovorax ebreus
aaa  Acidovorax avenae subsp. avenae ATCC 19860
vei  Verminephrobacter eiseniae
dac  Delftia acidovorans
del  Delftia sp. Cs1-4
vap  Variovorax paradoxus S110
vpe  Variovorax paradoxus EPS
ctt  Comamonas testosteroni
adn  Alicycliphilus denitrificans BC
adk  Alicycliphilus denitrificans K601
rta  Ramlibacter tataouinensis
mpt  Methylibium petroleiphilum
har  Herminiimonas arsenicoxydans
mms  Minibacterium massiliensis
hse  Herbaspirillum seropedicae
zin  Candidatus Zinderia insecticola CARI
cfu  Collimonas fungivorans
lch  Leptothrix cholodnii
tin  Thiomonas intermedia
neu  Nitrosomonas europaea
net  Nitrosomonas eutropha
nit  Nitrosomonas sp. AL212
nii  Nitrosomonas sp. Is79A3
nmu  Nitrosospira multiformis
eba  Aromatoleum aromaticum EbN1
azo  Azoarcus sp. BH72
dar  Dechloromonas aromatica
tmz  Thauera sp. MZ1T
dsu  Dechlorosoma suillum
tbd  Thiobacillus denitrificans
mfa  Methylobacillus flagellatus
mmb  Methylotenera mobilis
meh  Methylotenera sp. 301
mei  Methylovorus glucosetrophus SIP3-4
mep  Methylovorus sp. MP688
app  Accumulibacter phosphatis
tpn  Candidatus Tremblaya princeps
slt  Sideroxydans lithotrophicus
gca  Gallionella capsiferriformans
hpy  Helicobacter pylori 26695
hpj  Helicobacter pylori J99
hpa  Helicobacter pylori HPAG1
hps  Helicobacter pylori Shi470
hpg  Helicobacter pylori G27
hpp  Helicobacter pylori P12
hpb  Helicobacter pylori B38
hpl  Helicobacter pylori B8
hpc  Helicobacter pylori PeCan4
hpm  Helicobacter pylori SJM180
hhe  Helicobacter hepaticus
hac  Helicobacter acinonychis
hms  Helicobacter mustelae
hfe  Helicobacter felis
hbi  Helicobacter bizzozeronii
wsu  Wolinella succinogenes
tdn  Sulfurimonas denitrificans
sua  Sulfurimonas autotrophica
sku  Sulfuricurvum kujiense
cje  Campylobacter jejuni NCTC11168
cjr  Campylobacter jejuni RM1221
cjj  Campylobacter jejuni 81-176
cju  Campylobacter jejuni 81116
cjn  Campylobacter jejuni ICDCCJ07001
cjd  Campylobacter jejuni subsp. doylei 269.97
cff  Campylobacter fetus
ccv  Campylobacter curvus
cha  Campylobacter hominis ATCC BAA-381
cco  Campylobacter concisus 13826
cla  Campylobacter lari
abu  Arcobacter butzleri
ant  Arcobacter nitrofigilis
sdl  Sulfurospirillum deleyianum
nis  Nitratiruptor sp. SB155-2
sun  Sulfurovum sp. NBC37-1
nsa  Nitratifractor salsuginis
nam  Nautilia profundicola
gsu  Geobacter sulfurreducens
gme  Geobacter metallireducens
gur  Geobacter uraniumreducens
glo  Geobacter lovleyi
gbm  Geobacter bemidjiensis
geo  Geobacter sp. FRC-32
gem  Geobacter sp. M21
geb  Geobacter sp. M18
pca  Pelobacter carbinolicus
ppd  Pelobacter propionicus
dvu  Desulfovibrio vulgaris Hildenborough
dvl  Desulfovibrio vulgaris DP4
dvm  Desulfovibrio vulgaris Miyazaki F
dde  Desulfovibrio desulfuricans G20
dds  Desulfovibrio desulfuricans ATCC 27774
ddn  Desulfovibrio desulfuricans ND132
dma  Desulfovibrio magneticus
dsa  Desulfovibrio salexigens
das  Desulfovibrio aespoeensis
daf  Desulfovibrio africanus
lip  Lawsonia intracellularis
dba  Desulfomicrobium baculatum
drt  Desulfohalobium retbaense
bba  Bdellovibrio bacteriovorus
bmx  Bacteriovorax marinus SJ
dps  Desulfotalea psychrophila
dak  Desulfurivibrio alkaliphilus
dpr  Desulfobulbus propionicus
dol  Candidatus Desulfococcus oleovorans
dal  Desulfatibacillum alkenivorans
dat  Desulfobacterium autotrophicum
ade  Anaeromyxobacter dehalogenans 2CP-C
acp  Anaeromyxobacter dehalogenans 2CP-1
afw  Anaeromyxobacter sp. Fw109-5
ank  Anaeromyxobacter sp. K
mxa  Myxococcus xanthus
mfu  Myxococcus fulvus
sur  Stigmatella aurantiaca
scl  Sorangium cellulosum
hoh  Haliangium ochraceum
sat  Syntrophus aciditrophicus
dao  Desulfobacca acetoxidans DSM 11109
sfu  Syntrophobacter fumaroxidans
dbr  Desulfarculus baarsii
hmr  Hippea maritima
rpr  Rickettsia prowazekii
rty  Rickettsia typhi
rcm  Rickettsia canadensis McKiel
rcc  Rickettsia canadensis CA410
rco  Rickettsia conorii
rfe  Rickettsia felis
rak  Rickettsia akari
rri  Rickettsia rickettsii Sheila Smith
rrj  Rickettsia rickettsii Iowa
rra  Rickettsia rickettsii Arizona
rrc  Rickettsia rickettsii Colombia
rrh  Rickettsia rickettsii Hauke
rrb  Rickettsia rickettsii Brazil
rrn  Rickettsia rickettsii Hino
rrp  Rickettsia rickettsii Hlp#2
rms  Rickettsia massiliae MTU5
rmi  Rickettsia massiliae AZT80
rpk  Rickettsia peacockii
raf  Rickettsia africae
rhe  Rickettsia heilongjiangensis
rja  Rickettsia japonica
rsv  Rickettsia slovaca
rph  Rickettsia philipii
rbe  Rickettsia bellii RML369-C
